"id","date","holiday_name","information","more_information","tenant_id","created_at","updated_at","deleted_at","creator_id"
"d4fe0dd2-5ec2-45ce-9220-5b5e5337a0d8","2022-06-13 00:00:00","Queen's Birthday","Celebrated on second Monday in June except in Western Australia and Queensland.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"d83b24ea-a2b7-4179-9b6e-8fc5d8180131","2021-12-24 00:00:00","Christmas Eve 6pm - Midnight","Part day public holiday from 6pm to midnight","https://www.qld.gov.au/recreation/travel/holidays/public","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"d90d54f4-c5e3-42de-8771-325b98a43659","2026-10-06 00:00:00","King's Birthday","Labour Day public holiday is to be observed on the first Monday in May and the Birthday of the Sovereign (King's Birthday) public holiday is to be observed on the first Monday in October. These arrangements have been in place since 2016 following amendments to the Holidays Act 1983 (passed by Parliament on 13 October 2015).","https://www.qld.gov.au/recreation/travel/holidays/public","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"d943dcdb-35ef-4fb5-83aa-83a0e436dc7e","2026-04-19 00:00:00","Easter Saturday - the day after Good Friday","","https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"d94a7a45-9e6b-4d18-93dd-3314c0d19eb2","2026-12-24 00:00:00","Christmas Eve: 7pm to midnight","","https://www.safework.sa.gov.au/resources/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"d9865d83-7b57-4242-9f7d-260ac561ad04","2021-05-03 00:00:00","May Day","Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.","https://nt.gov.au/nt-public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"d9a1888d-c47d-46e6-b33e-a9fec4484828","2021-12-31 00:00:00","New Year's Eve 7pm - Midnight","Part-day public holiday from 7pm-12 midnight","https://nt.gov.au/nt-public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"dbb372eb-6a90-4e3b-abab-da31bb9b66ad","2023-12-31 00:00:00","New Year's Eve","Part-day holiday 7pm to midnight","https://nt.gov.au/nt-public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"dee263fe-93d3-43ac-9c49-610d5cbc1f19","2023-04-25 00:00:00","Anzac Day","Celebrated on the 25 April each year.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"df8ce01b-9b72-4a6c-ae1e-43acba589869","2026-06-09 00:00:00","Kings Birthday","","https://www.safework.sa.gov.au/resources/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"e1342603-6150-4ba2-ad2c-e725f6a49695","2021-04-06 00:00:00","Easter Tuesday","Public Holiday currently observed by certain awards/agreements and the State Public Service","https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"e146ae50-2fbb-4da5-9de7-307b5859459f","2024-03-11 00:00:00","Labour Day","Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.","https://business.vic.gov.au/business-information/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"e350039a-dc42-4c88-8196-9d9a1f38a77d","2022-09-26 00:00:00","Queen's Birthday","Celebrated on second Monday in June except in Western Australia and Queensland.","https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"e5dc40f4-de84-4a73-ac88-7c900d9703c5","2026-08-04 00:00:00","Bank Holiday","Applies to banks and certain financial institutions, see the Retail Trading Act 2008.","https://www.nsw.gov.au/about-nsw/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"e74deafb-9f90-4d1d-bdf1-948ec31ee0ff","2026-01-01 00:00:00","New Year's Day","","https://www.act.gov.au/living-in-the-act/public-holidays-school-terms-and-daylight-savings","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"e87fbd43-338b-47c6-bd02-6402c9e6fd5a","2023-12-26 00:00:00","Boxing Day / Proclamation Day","Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.","https://www.safework.sa.gov.au/resources/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"e8c29fb5-c262-4f05-ab40-559ac060a2c3","2023-08-07 00:00:00","Bank Holiday","Applies to banks and certain financial institutions, per the Retail Trading Act 2008","https://www.nsw.gov.au/about-nsw/public-holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"ead159c9-d18e-4f9e-b9ef-48d448e082f1","2023-12-25 00:00:00","Christmas Day","Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"ec8759d7-33a1-4f2b-81e6-a07ffe4fcbfe","2021-04-03 00:00:00","The Day after Good Friday","Easter Saturday is between Good Friday and Easter Sunday in Australia.","https://www.qld.gov.au/recreation/travel/holidays/public","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"eced27bd-a8fc-4372-8a2d-47c353219ef3","2022-12-27 00:00:00","Christmas (additional day)","As 25 December (Christmas Day) falls on a Sunday in 2022, there is an additional public holiday on the Tuesday.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"ee326e44-dbde-43ea-aa9d-e7f02a256856","2022-12-25 00:00:00","Christmas Day","Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"ee9977dc-2260-43f3-9ee9-067f2119a1ba","2026-04-13 00:00:00","ttt","aaa",NULL,"TENANT-20260116-0001","2026-04-13 08:16:37.957","2026-04-13 08:16:37.957",NULL,"66556575-dda4-4843-a5ba-aac44284dc69"
"ef452a66-2924-44d8-a1d0-250fc265a4d0","2024-03-11 00:00:00","Canberra Day","Held on the second Monday of March each year in Canberra to celebrate the naming ceremony of Australia's capital which took place on 12 March 1913.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"f02ae23c-b16d-473e-95e4-7c88d3567da8","2022-09-23 00:00:00","Friday before the AFL Grand Final","Friday before the AFL Grand Final","https://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays-2022","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"f179858b-13d1-4a1f-86e9-1afc4cc49179","2024-10-07 00:00:00","Labour Day","Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.","https://www.cmtedd.act.gov.au/communication/holidays","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"f1c32c3c-c68b-4512-ade9-89882e244999","2026-12-24 00:00:00","Christmas Eve (24 December) 6pm - midnight","From 2019, the Holidays Act 1983 provides for a part-day public holiday from 6pm to midnight on Christmas Eve (24 December).","https://www.qld.gov.au/recreation/travel/holidays/public","TENANT-20260116-0001","2026-03-10 07:00:36.66","2026-03-10 07:00:36.66",NULL,"a418793f-5816-415d-97f8-d0e564016aa5"
"f22da3d5-6033-441d-b14f-6d54f2f9762b","2026-03-18 00:00:00","Founders 4","Observed across the org","Offices closed","TENANT-20260116-0001","2026-03-18 10:02:42.308","2026-03-18 10:02:42.308",NULL,"66556575-dda4-4843-a5ba-aac44284dc69"
